round,split,overall_relative_fourvector_rmse,E_rmse_gev,px_rmse_gev,py_rmse_gev,pz_rmse_gev
1,train_focus,0.7818340172203897,57.14936451444349,27.345117860520226,27.289956639788493,54.656689600428
1,validation_focus,0.7821317291041404,57.138576286016146,27.133968734662098,27.02697366977907,54.684924928473116
2,train_focus,0.7500474613459213,55.37715551873659,26.47635593477332,26.420523742924686,52.85147202606782
2,validation_focus,0.7498586439510552,55.347724882898504,26.247042543877527,26.146113961527693,52.86171321213652
3,train_focus,0.7203484291971718,53.692587751470825,25.63990776118383,25.58115921561129,51.13796226595945
3,validation_focus,0.7196961712786296,53.64580700670046,25.393129008090217,25.29556311035363,51.13128198847784
5,train_focus,0.6664499602004749,50.56570607737852,24.05253021913918,23.996890346389105,47.965440884545686
5,validation_focus,0.664955915484947,50.48822547018261,23.771119756756452,23.68634857380318,47.92914765927036
10,train_focus,0.5574434496472198,43.94691565346741,20.56002947900484,20.500262000409943,41.30403680430344
10,validation_focus,0.5541102370727621,43.79916152521344,20.18832569574557,20.12444980135758,41.2013769451858
35,train_focus,0.3148899766017306,27.44929646148156,10.67474722641184,10.591879591681925,25.333176792747455
35,validation_focus,0.3055530434900249,27.130857052940094,9.811485380106994,9.810038585989519,25.080095065294927
70,train_focus,0.2487742622709193,22.529178401092004,7.37839326272325,7.2468216589262315,20.97491420882314
70,validation_focus,0.23769898001345383,22.260163882112057,6.078035933215879,6.084819795573403,20.774606555166184
105,train_focus,0.23405404271708644,21.464646593481874,6.87401565395239,6.748175484063853,20.04557948968491
105,validation_focus,0.22429482435400624,21.302056635608544,5.499170308193817,5.523745695056843,19.948907271587363
140,train_focus,0.2275642160924323,20.98979216939942,6.725253213243214,6.607633014526396,19.617393480822955
140,validation_focus,0.21982585436183516,20.981877588291315,5.363123045158786,5.3946760671624165,19.66525349008283
175,train_focus,0.22305217999263802,20.659746036940504,6.63964412545384,6.524718425210157,19.3155793262694
175,validation_focus,0.21788716844924788,20.813477521092683,5.305291251907232,5.337145660345265,19.512196471295677
