sample,slice,lo,hi,n,energy_response_mean,energy_relative_bias_mean,energy_relative_resolution_sigma,overall_relative_fourvector_rmse,angular_68_mrad
validation_focus,energy,50.0,75.0,6281,1.11839526305152,0.1183952630515199,0.2367665443476947,0.3749715348641751,12.504007632682947
validation_focus,energy,75.0,100.0,6292,1.053339799603507,0.0533397996035068,0.1549924107013376,0.232807295908612,10.132493238098675
validation_focus,energy,100.0,125.0,6338,1.0306847173372455,0.030684717337245437,0.12415729205025923,0.1815215696366351,8.87406232322111
validation_focus,energy,125.0,150.0,6358,1.0100464919702186,0.010046491970218552,0.1168382495348514,0.16625832745149743,7.922237102739643
validation_focus,energy,150.0,175.0,6336,0.9958585646664322,-0.0041414353335677435,0.11001383515874288,0.1562572632427883,7.215169752859196
validation_focus,energy,175.0,200.0,6347,0.9789012406902945,-0.021098759309705544,0.11414730746964945,0.16444492954697038,6.714706656264991
validation_focus,energy,200.0,225.0,6352,0.9639872360709478,-0.03601276392905211,0.11317435622765094,0.16825067637906965,6.416508017324642
validation_focus,energy,225.0,250.0,6322,0.9381804436468447,-0.06181955635315523,0.1162805387743586,0.18654752607590164,5.970739734276623
validation_focus,theta_quantile,0.006411829583044952,107.5075859671193,12657,1.0028763492205106,0.0028763492205104353,0.05026148777492078,0.07162286930562305,7.116781083327287
validation_focus,theta_quantile,107.5075859671193,215.4097867555964,12656,1.0045885315115954,0.004588531511595394,0.06390189404403457,0.09119191224633062,7.31048783622589
validation_focus,theta_quantile,215.4097867555964,324.69581220208784,12656,1.0108986546368883,0.01089865463688828,0.14750505247119344,0.20952990373228664,8.05609408067194
validation_focus,theta_quantile,324.69581220208784,461.2934221457527,12657,1.0257144623077026,0.025714462307702433,0.25024197713064256,0.35655320417374814,9.835659020823034
test_focus,energy,50.0,75.0,6288,1.1575852532169169,0.15758525321691688,0.23676779011734964,0.40268695869104904,12.214289153675729
test_focus,energy,75.0,100.0,6301,1.0756461834361875,0.07564618343618751,0.1458091312663133,0.23276403675739624,9.996524509719348
test_focus,energy,100.0,125.0,6345,1.0396548858634995,0.03965488586349952,0.12066751666130741,0.1799964111598575,8.908482777378241
test_focus,energy,125.0,150.0,6364,1.020741878067726,0.020741878067726104,0.11376339346932295,0.1638805071043879,7.705015282886159
test_focus,energy,150.0,175.0,6346,1.003225899806371,0.0032258998063711417,0.1105962822896101,0.15673855877162302,7.241443050486707
test_focus,energy,175.0,200.0,6350,0.9868725150756201,-0.013127484924379814,0.10876012396989128,0.15538288653237853,6.701415375653669
test_focus,energy,200.0,225.0,6358,0.9674015666492746,-0.03259843335072539,0.11215192694186112,0.16543403700414236,6.3406129434113545
test_focus,energy,225.0,250.0,6333,0.9405138115286532,-0.05948618847134675,0.11124836290091199,0.17858175841065504,6.005522654145532
test_focus,theta_quantile,0.015698640291800868,107.28699731689683,12672,1.0152749330670876,0.015274933067087644,0.05166841296130864,0.07658768892465327,7.044924994503114
test_focus,theta_quantile,107.28699731689683,215.32804540047152,12672,1.0183413467128175,0.018341346712817574,0.06512500931513292,0.0960147848124379,7.197513353867027
test_focus,theta_quantile,215.32804540047152,325.4268373294588,12672,1.0253356626869652,0.0253356626869651,0.1482593061196381,0.21300369460599153,7.943819415787861
test_focus,theta_quantile,325.4268373294588,461.2976214093659,12672,1.036122046179307,0.03612204617930679,0.25278436736531706,0.36161040626271324,9.756771085596437
