round,target,split,rmse,weighted_rmse,effective_target_round
420,uz,validation_focus,0.003119818550535959,,420
455,log1p_kinetic,train_focus,0.13869100685627347,0.1387523530308978,455
455,log1p_kinetic,validation_focus,0.15074984413650935,,455
455,ux,train_focus,0.02902080308058142,0.029023070906864203,455
455,ux,validation_focus,0.010237126515379403,,455
455,uy,train_focus,0.026626142654885766,0.026629164551798472,455
455,uy,validation_focus,0.00991566220712476,,455
455,uz,train_focus,0.003322073807142124,0.003323263935024381,455
455,uz,validation_focus,0.003065385677794185,,455
490,log1p_kinetic,train_focus,0.13752359542173676,0.1375835941502217,490
490,log1p_kinetic,validation_focus,0.15069772498538037,,490
490,ux,train_focus,0.029002541095725115,0.029004792497078324,490
490,ux,validation_focus,0.010228252255983786,,490
490,uy,train_focus,0.02660798521320783,0.026611001004371772,490
490,uy,validation_focus,0.00989032736905136,,490
490,uz,train_focus,0.003272797680480292,0.0032739549992273813,490
490,uz,validation_focus,0.0030191720775076428,,490
525,log1p_kinetic,train_focus,0.13643700023546554,0.13649577682903996,525
525,log1p_kinetic,validation_focus,0.1506582179384162,,525
525,ux,train_focus,0.028984896873510017,0.02898713777008078,525
525,ux,validation_focus,0.010205311810633036,,525
525,uy,train_focus,0.026589814861082056,0.026592826214335927,525
525,uy,validation_focus,0.009867291417911699,,525
525,uz,train_focus,0.0032306257954551956,0.0032317564826885173,525
525,uz,validation_focus,0.002979728461389592,,525
560,log1p_kinetic,train_focus,0.13538566148450906,0.13544326582701144,560
560,log1p_kinetic,validation_focus,0.15056645428741516,,560
560,ux,train_focus,0.028970947459697974,0.028973178688048506,560
560,ux,validation_focus,0.010205403934535619,,560
560,uy,train_focus,0.02657344720257273,0.026576451072911445,560
560,uy,validation_focus,0.009843061122971964,,560
560,uz,train_focus,0.0031924041070993765,0.0031935120656449954,560
560,uz,validation_focus,0.0029455835700057937,,560
595,log1p_kinetic,train_focus,0.13432819902174623,0.13438451627360024,595
595,log1p_kinetic,validation_focus,0.15047633070203673,,595
595,ux,train_focus,0.028957408632075472,0.02895962722321038,595
595,ux,validation_focus,0.010198452073929066,,595
595,uy,train_focus,0.02655974800664664,0.026562747019432904,595
595,uy,validation_focus,0.009816212441418004,,595
595,uz,train_focus,0.003157700745411767,0.003158785881672379,595
595,uz,validation_focus,0.0029116964012331453,,595
630,log1p_kinetic,train_focus,0.1333453725457,0.13340055924192704,630
630,log1p_kinetic,validation_focus,0.1503904238873158,,630
630,ux,train_focus,0.02894532919640646,0.02894753738403995,630
630,ux,validation_focus,0.010194728885795281,,630
630,uy,train_focus,0.026545376328945866,0.02654836545599966,630
630,uy,validation_focus,0.00979811003422836,,630
630,uz,train_focus,0.0031259358658682537,0.0031270017146966356,630
630,uz,validation_focus,0.0028835556326483663,,630
665,log1p_kinetic,train_focus,0.1323872288526806,0.13244137558264865,665
665,log1p_kinetic,validation_focus,0.150289758806519,,665
665,ux,train_focus,0.02893324968230899,0.028935446114594518,665
665,ux,validation_focus,0.010177336363172544,,665
665,uy,train_focus,0.026532023418575124,0.02653500557336406,665
665,uy,validation_focus,0.009777071803593811,,665
665,uz,train_focus,0.0030978284746855417,0.003098875709020466,665
665,uz,validation_focus,0.002858519758758848,,665
700,log1p_kinetic,train_focus,0.13151863042989162,0.13157156110361734,700
700,log1p_kinetic,validation_focus,0.15025982201170932,,700
700,ux,train_focus,0.028922111589660782,0.02892429848688074,700
700,ux,validation_focus,0.010162227228878032,,700
700,uy,train_focus,0.026519206584175295,0.02652217670114091,700
700,uy,validation_focus,0.009756760201053788,,700
700,uz,train_focus,0.0030720424630019207,0.0030730727523537553,700
700,uz,validation_focus,0.002836540221309639,,700
735,log1p_kinetic,train_focus,0.13068369023922946,0.13073579404754085,735
735,log1p_kinetic,validation_focus,0.15018996550322455,,735
735,ux,train_focus,0.028912399589626086,0.02891457496263237,735
735,ux,validation_focus,0.010152626258335972,,735
735,uy,train_focus,0.02650828343022593,0.02651124410529342,735
735,uy,validation_focus,0.009746257252946894,,735
735,uz,train_focus,0.0030480284603245926,0.003049044445167291,735
735,uz,validation_focus,0.002816753535797051,,735
770,log1p_kinetic,train_focus,0.1298480709286947,0.12989933549933871,770
770,log1p_kinetic,validation_focus,0.15015894174860447,,770
