binning,component,bin_low_gev,bin_high_gev,bin_center_gev,n,r2,mae_gev,rmse_gev,bias_gev,residual_sigma_gev,norm_bias_mean,norm_resolution_sigma
all_25gev,E,0.0,25.0,12.5,6388,-131.8637627255573,77.64440754468399,82.44721740435351,77.64440754468399,27.731029881528695,15.979874307585265,26.344480569943688
all_25gev,px,0.0,25.0,12.5,6388,-37.52521509236785,11.465413593477177,15.686589643026917,-0.0439129059779606,15.687756134533315,-0.04867714808706092,5.814330814585472
all_25gev,py,0.0,25.0,12.5,6388,-38.52812128362685,11.586517453288407,15.947813903699402,-2.0442650936454143,15.8174876201386,-0.4518074395632828,6.17734692821126
all_25gev,pz,0.0,25.0,12.5,6388,-127.60167696679463,74.96562199043353,79.46376724715,74.96562199043353,26.35819766266563,15.435050102051644,25.40603368285198
all_25gev,E,25.0,50.0,37.5,6339,-20.34683870428125,28.22343431513714,33.256737024252764,28.22343431513714,17.592530723110777,0.833738378459174,0.6097180404331399
all_25gev,px,25.0,50.0,37.5,6339,-0.21003192535600657,4.5972749540568865,7.361022362131635,0.021207215217845483,7.3615724930589055,0.001862553700948171,0.22325181923573506
all_25gev,py,25.0,50.0,37.5,6339,-0.26144553184627917,4.629714537795156,7.473740741325495,-1.0597912115166588,7.398802541460652,-0.029635986329004993,0.22603825685627088
all_25gev,pz,25.0,50.0,37.5,6339,-18.990455323129886,27.05699121492238,31.586548444211452,27.05699121492238,16.299422676775308,0.7997971820657165,0.5718412153225745
all_25gev,E,50.0,75.0,62.5,6288,-4.570941639599341,10.0313865669725,16.99068255305875,9.512106532700825,14.079582692534043,0.15758525321691688,0.23678661931854983
all_25gev,px,50.0,75.0,62.5,6288,0.8453101038650614,2.0372653557223095,4.316235505688853,-0.024120493534937285,4.3165113563700315,-0.0003370888927628534,0.07187678848908008
all_25gev,py,50.0,75.0,62.5,6288,0.8425915588600891,2.0677850129245967,4.3594358329145315,-0.7105999484468155,4.301473123397172,-0.01200284736597783,0.0722032394414058
all_25gev,pz,50.0,75.0,62.5,6288,-3.859210174913832,9.50317210402729,15.889996310317649,9.001015362089218,13.095838251984743,0.14913812994808529,0.22024556530011744
all_25gev,E,75.0,100.0,87.5,6301,-2.930932002902604,8.79401153487467,14.210865822925728,6.54460419799518,12.615154377721868,0.07564618343618751,0.1458207029604124
all_25gev,px,75.0,100.0,87.5,6301,0.9417613436733003,1.7950700532945234,3.659571300818167,-0.015751344074715876,3.659827830538744,-0.00017019263290486705,0.04235201095611049
all_25gev,py,75.0,100.0,87.5,6301,0.9448795088936681,1.8248383513281385,3.6029409603165665,-0.5064956481690168,3.56744523531167,-0.0058985446714295295,0.0411232992463788
all_25gev,pz,75.0,100.0,87.5,6301,-2.220668380106845,8.35728514579324,13.312197923045085,6.2065530998091,11.777747109402126,0.07172664343533336,0.1361454809416544
all_25gev,E,100.0,125.0,112.5,6345,-2.941751340372373,9.442148979273352,14.25691961067522,4.397581560781766,13.562817721150438,0.03965488586349952,0.12067702665199574
all_25gev,px,100.0,125.0,112.5,6345,0.9690871163366844,1.8924719135773154,3.4591206939157697,0.053051249081137494,3.458986442845741,0.0004706537846364724,0.030833288093093214
all_25gev,py,100.0,125.0,112.5,6345,0.9682777048298088,1.9122065680884113,3.4914317646753843,-0.2146534227525407,3.4851017098889763,-0.0019011397667856819,0.03104625795450653
all_25gev,pz,100.0,125.0,112.5,6345,-2.067288284082734,8.990353237646717,13.444830777135996,4.199236098895444,12.77323783756002,0.037859991293844535,0.11364906195743367
all_25gev,E,125.0,150.0,137.5,6364,-3.792749008184064,10.356281299919896,15.86034669835677,2.8222599706750913,15.608450518584679,0.020741878067726104,0.11377233256441154
all_25gev,px,125.0,150.0,137.5,6364,0.9737272557072654,2.1363100763096905,3.904032505269432,0.036803936941160034,3.9041657735289004,0.00026136622588361934,0.028465889564343948
all_25gev,py,125.0,150.0,137.5,6364,0.9734558418785965,2.100974878503277,3.8760219007322716,-0.08517969958046068,3.8753903200160624,-0.0006004577940085755,0.028198724865937875
all_25gev,pz,125.0,150.0,137.5,6364,-2.4150826272888586,9.852506272251333,14.947099738835997,2.7231429806966267,14.69810291179183,0.020006358837372316,0.10714655119267436
all_25gev,E,150.0,175.0,162.5,6346,-5.313602906865826,11.376799847911972,18.031142034122656,0.47344846124780127,18.02634557964268,0.003225899806371142,0.11060499717731832
all_25gev,px,150.0,175.0,162.5,6346,0.9764664504597684,2.31496536917663,4.350077731513091,0.06616966225285034,4.34991718680151,0.00040700797440091724,0.026710761934158847
all_25gev,py,150.0,175.0,162.5,6346,0.9742433441626104,2.342460688065825,4.521077663919195,0.21355566162703238,4.516386995336195,0.0012731438331286906,0.027689851633494102
all_25gev,pz,150.0,175.0,162.5,6346,-3.1073906138505034,10.812802910097039,16.968614057440703,0.5308282002409545,16.96164554782641,0.0035638231910699483,0.10407829669550522
all_25gev,E,175.0,200.0,187.5,6350,-7.048280264265161,12.241086936288,20.548943509894485,-2.4906622856589844,20.399049283020602,-0.01312748492437981,0.10876868877078417
all_25gev,px,175.0,200.0,187.5,6350,0.9746521448742584,2.504312566616631,5.193107387278474,0.11460445020031752,5.192251509945531,0.000622710097165657,0.02770077855645078
all_25gev,py,175.0,200.0,187.5,6350,0.9737533463739171,2.536108900039972,5.274344631931594,0.36263781442692405,5.2622776426626245,0.0019164158497614776,0.027980680639269777
all_25gev,pz,175.0,200.0,187.5,6350,-3.8947962804379497,11.62183770671863,19.30149028760771,-2.2600006336980476,19.17023208329246,-0.011905083748936415,0.10221835708026952
all_25gev,E,200.0,225.0,212.5,6358,-10.792317600292156,13.47553072714342,24.901090114393913,-6.976805717629989,23.90561344571517,-0.03259843335072539,0.11216074773128384
all_25gev,px,200.0,225.0,212.5,6358,0.9685676429780288,2.903748614023835,6.635029868094998,0.1833235924008314,6.633018448937069,0.0008676221902901249,0.031117505196627038
all_25gev,py,200.0,225.0,212.5,6358,0.971954281113825,2.7803707016918944,6.1630939302514225,0.6321617004550291,6.131069288125993,0.0029552132757557606,0.028745958476962503
all_25gev,pz,200.0,225.0,212.5,6358,-5.3346196644719726,12.754171571119928,23.279278231872983,-6.4644717098130995,22.365466131120613,-0.03020022782110545,0.10494547847264103
all_25gev,E,225.0,250.0,237.5,6333,-16.386144695655158,16.101277266155893,30.07671296685656,-14.211360671438902,26.509561637389247,-0.05948618847134675,0.11125714716899002
